"","x"
"94","RT @yucca88: Netflixのアメリカの定番料理を巡るグルメ番組『アグリー・デリシャス：極上の""食""物語』がめちゃめちゃ面白い。
第一回のタイトルは「最高のピザとは」。毎年30億枚を消費するアメリカのピザ事情を伝統的な店から前衛的な店、さらにはチェーン店まで訪れて取…"
"95","RT @bleksaintsbey: @Netflixhelps Right then you absolute bellends. I do NOT pay good money for your streaming site, just for you to not hav…"
"96","RT @mishiki: Netflixの面白いドキュメンタリー紹介シリーズ。

イギリスウインザー朝の100年をたどる作品。これは面白いなぁ。一次大戦時に王朝のドイツ色を消そうと努力したり、ロマノフ家の最後とどう関係していたかとか、チャールズ王太子の叙任式はテレビ向けに作られ…"
"97","RT @inquirerdotnet: EXO fans say hi to your dancing detective Sehun! #Busted @Netflix_PH @inquirersuper | @NikkaINQ https://t.co/QAsFw12dl0"
"98","@netflix It's gonna be Baeutiful in #Sense8All5Seasons ������ https://t.co/1pyjnNPH3E"
"99","RT @celebsinparis: #INFO @netflix confirmé la sortie de la saison 2 de #13ReasonsWhy avec le trailer https://t.co/IiopUUol6t"
"100","RT @Ilovesexys1: O que vc queria pra esse feriado?

transar
comer um lanche
Netflix
transar dnv
Netflix
transar
Comer d nv"
"101","RT @howardfineman: RE #MichelleWolf: 1. Yep: blunt, crude, pitiless. Remind you of, say, a president? 2. She torched EVERYONE, even #Dems,…"
"102","RT @HarvardDivinity: Subject of new @netflix film ""Come Sunday,"" once branded a heretic, donates archives of his @PentacostChurch ministry…"
"103","@NetflixBrasil A Netflix tá confundindo as palavras ""Precisa de continuação pra avançar a história"" e ""Já acabou e… https://t.co/w1zGjuuH35"
"104","@netflix @_GabyRosero te odio"
"105","RT @PortalEXOBrasil: Eu vivi pra assistir o Sehun na Netflix.
#MTVBRKPOPEXO 
#PremiosMTVMiaw 
@weareoneEXO https://t.co/IFlQVGCCqM"
"106","@MarcDamon1 What was the name of that Netflix documentary you and @Ofthedoor1 talked about on the podcast? I wanna… https://t.co/6FWXNkVmpw"
"107","RT @harryegirl: o brasileiro como sempre injustiçado olha essa netflix americana bicho https://t.co/1M1ccxQOPY"
"108","i’m so happy season four of jane the virgin is on netflix now������"
"109","RT @SGNewsSpain: ¡La segunda temporada de 13 Reasons Why estará disponible el 18 de Mayo en Netflix! En el Instagram de 13 Reasons Why hubo…"
"110","RT @netflixturkiye: Kasetler sadece başlangıçtı. #13ReasonsWhy ikinci sezon, 18 Mayıs'ta sadece Netflix'te. https://t.co/9KIezS3vxu"
"111","RT @HugoGloss: CONFIRMADO: a segunda temporada de #13ReasonsWhy estreia no dia 18 de maio na Netflix. Ai minha nossa senhora das fitas! Kkk…"
"112","RT @SHOUTOUTOEXO: ""Olá, aqui é o Sehun do exo. Depois de criar uma conta na Netflix, tem 1 mês grátis. Por favor, assistam muito a BUSTED""…"
"113","RT @PreviouslySerie: #13ReasonsWhy

⚠️ATENCIÓN⚠️

El 18 de MAYO estreno de la 2T de la serie en @netflix.

⬇️DENTRO VIDEO⬇️
https://t.co/DX…"
"114","is spiderman homecoming on netflix"
"115","Quiero ser un rollito, con Netflix y comida"
"116","RT @weareoneEXO: 넷플릭스(Netflix) 오리지널 최초의 한국 예능 &lt;범인은 바로 너!&gt; 제작발표회에서 포착된 세훈!
탐정으로 변신한 세훈의 모습은 5월 4일에 공개됩니다!
#EXO #SEHUN #세훈 #Netflix #추리예능 #범인…"
"117","I liked a @YouTube video https://t.co/pmnWXDFLjs 13 Reasons Why: Season 2 | Date Announcement [HD] | Netflix"
"118","RT @levmauc: Películas de TERROR en Netflix recomendadas:

— The witch 
— Evil Dead 
— The Omen (1976)
— Under the shadow
— The invitation…"
"119","RT @notSusan30: kids from Boring High want to graduate 
@netflix #RenewEverythingSucks"
"120","RT @lubtds: eu no tt sobre 13 reasons why: cancela essa porra
eu dia 18 abrindo a netflix 

 #13ReasonsWhy https://t.co/YvSIiLbel7"
"121","RT @JonasConcerts: Camp Rock did not turn 10 years old this year for it to be taken off of Netflix in May. https://t.co/xuGNNMYhyX"
"122","13 Reasons Why Season 2 Netflix teaser reveals May 18 release date     - CNET https://t.co/XV86enp9WR"
"123","RT @BossartKilian: Ptdrrrrr ma grand-mère elle a eu Netflix y’a pas longtemps c’est pas cette nuit elle a regardé une série jusqu’à 4h00 pc…"
"124","BAE: Hey babe I have surprise today 
Me: What is it 
Bae: 13 Reasons Why Season 2 is dropping in May 18
Me:
#@13Rea… https://t.co/s42otzMB1Z"
"125","RT @tuwileigh: twice already had 8 comebacks.
winner had a comeback.
jbj already disbanded.
south korea and north korea war ends.

but stil…"
"126","RT @13ReasonsWhyBRA: As fitas eram apenas o começo. A 2ª temporada de #13ReasonsWhy chega na plataforma de streaming Netflix no dia 18 de M…"
"127","@alfreyco Not really, but you'll miss out when you don't watch agent carter and the netflix shows, they're VERY awe… https://t.co/XCKMtstJZ3"
"128","RT @harryegirl: o brasileiro como sempre injustiçado olha essa netflix americana bicho https://t.co/1M1ccxQOPY"
"129","RT @abc_es: Netflix indemniza a Claire Foy por haberle pagado menos que a Matt Smith en «The Crown» https://t.co/bghPM3pVje"
"130","Tô no quarto da mãe com ela,vendo um Netflix encomendo salgadinho e bis❤"
"131","RT @BaekObrien: -SeHun: ""Hola, es SeHun de EXO. Si te uniste a Netflix obtendrás un mes gratis, así que mira mucho 'Busted'. Gracias""

JAJA…"
"132","RT @Ilovesexys1: O que vc queria pra esse feriado?

transar
comer um lanche
Netflix
transar dnv
Netflix
transar
Comer d nv"
"133","RT @Oscarpalavecin0: Hace mil que no veo algo en Netflix"
"134","RT @sargntpeppers: GENTE AMANHÃ A NETFLIX VAI LANÇAR UM DOCUMENTÁRIO CHAMADO “27: gone too soon” QUE FALA SOBRE OS ARTISTAS QUE MORRERAM AO…"
"135","RT @BulldogUTSA: Study days are the perfect time to nap, watch Netflix.. basically anything besides study ������"
"136","RT @harryegirl: o brasileiro como sempre injustiçado olha essa netflix americana bicho https://t.co/1M1ccxQOPY"
"137","RT @harryegirl: o brasileiro como sempre injustiçado olha essa netflix americana bicho https://t.co/1M1ccxQOPY"
"138","RT @InfoJelenaBR: A série original da Netflix produzida por Selena Gomez, 13 Reasons Why retorna dia 18 de maio com a segunda temporada. #1…"
"139","RT @carterjon01: Watch out for the next episode of #EverythingSuckscast coming soon. Special guest! #RenewEverythingSucks #DearEllen Rememb…"
"140","RT @HugoGloss: CONFIRMADO: a segunda temporada de #13ReasonsWhy estreia no dia 18 de maio na Netflix. Ai minha nossa senhora das fitas! Kkk…"
"141","parabens netflix por fazer uma serie supostamente sobre suicidio e depressao em uma serie teen pretty little lies de vinganca e chantagem"
"142","What I just wrote to @Netflix Customer service. The guy who responded said he would pass my feedback along to the r… https://t.co/SEQOorGnER"
"143","RT @ESNetflixES: Netflix acaba de anunciar que la segunda temporada (T2) de #Por13Razones #13ReasonsWhy se estrenará este mes de Mayo de 20…"
"144","RT @xoxhelsea: Me when I saw the release date for #13ReasonsWhy season 2. Netflix be dropping BOMBS when you least expect������ https://t.co/lxg…"
"145","RT @astrobrix: la verdad no tengo vocacion como esos q quisieron ser medicos y abogados desde chicos yo voy cambiando mis sueños segun las…"
"146","RT @HugoGloss: CONFIRMADO: a segunda temporada de #13ReasonsWhy estreia no dia 18 de maio na Netflix. Ai minha nossa senhora das fitas! Kkk…"
"147","RT @faunbutt: i cant afford netflix but the aggretsuko characters look adorable https://t.co/2WSMalbkK5"
"148","RT @13ReasonsWhyBRA: As fitas eram apenas o começo. A 2ª temporada de #13ReasonsWhy chega na plataforma de streaming Netflix no dia 18 de M…"
"149","YA ESTÁ EN NETFLIX EL PROGRAMA DE JAESUK Y KWANGSOO ������������������������������������������������������������������ https://t.co/brpoAvWLTu"
"150","RT @SHOUTOUTOEXO: ""Olá, aqui é o Sehun do exo. Depois de criar uma conta na Netflix, tem 1 mês grátis. Por favor, assistam muito a BUSTED""…"
"151","RT @BossartKilian: Ptdrrrrr ma grand-mère elle a eu Netflix y’a pas longtemps c’est pas cette nuit elle a regardé une série jusqu’à 4h00 pc…"
"152","RT @HugoGloss: CONFIRMADO: a segunda temporada de #13ReasonsWhy estreia no dia 18 de maio na Netflix. Ai minha nossa senhora das fitas! Kkk…"
"153","RT @13ReasonsWhyBRA: As fitas eram apenas o começo. A 2ª temporada de #13ReasonsWhy chega na plataforma de streaming Netflix no dia 18 de M…"
"154","RT @guxcams: Eu nunca sei oque assistir na netflix rodo rodo rodo e acabo desistindo e vou dormir"
"155","RT @ElPanditaRojo_: Estaba viendo Netflix tranquilamente, hasta que recordé todo lo que tengo por hacer, ahora estoy viendo Netflix estresa…"
"156","YES @/Netflix IM STILL WATCHING STOP ASKING AND MAKING ME FEEL BAD ABOUT MY NON-PRODUCTIVITY. https://t.co/I1zGNTI3gq"
"157","agr vamos ver se vai ser uma tremenda decepção ou n

@netflix n me decepcione"
"158","RT @ESNetflixES: Netflix acaba de anunciar que la segunda temporada (T2) de #Por13Razones #13ReasonsWhy se estrenará este mes de Mayo de 20…"
"159","RT @harryegirl: o brasileiro como sempre injustiçado olha essa netflix americana bicho https://t.co/1M1ccxQOPY"
"160","RT @faunbutt: i cant afford netflix but the aggretsuko characters look adorable https://t.co/2WSMalbkK5"
"161","RT @electroboyusa: Dear @GOP,

You can dish it out but you sure can't as hell can't take it!

So #MichelleWolf, forget #Netflix, we want yo…"
"162","RT @michelleisawolf: Now streaming on @netflix! Watch! Donate! And keep doing that cycle till we end Alzheimers! #hilarityforcharity https:…"
"163","money heist on netflix is brazyyy"
"164","@JesseThorn We watched Norm's latest Netflix special.

... I was hoping he'd have some jokes in it, but I guess he'… https://t.co/bniMHUTh1n"
"165","Gostei de um vídeo @YouTube https://t.co/WtdZPwU0n7 Reasons Why: Temporada 2 | Anúncio de estreia [HD] | Netflix"
"166","RT @unocero: Te revelamos paso a paso cómo descubrir las miles de categorías ocultas de Netflix.  https://t.co/GGnTEACYP1"
"167","RT @ScreenMix: الاشرطة كانت البداية فقط.. 18 يوم يفصلنا عن موعد عرض جميع حلقات مسلسل #13ReasonsWhy على شبكة Netflix. https://t.co/szpP9a9lan"
"168","Tropa de elite ������������������������ la mejor película de Netflix"
"169","@sccpkarine netflix gringaaaaaaa"
"170","RT @harryegirl: o brasileiro como sempre injustiçado olha essa netflix americana bicho https://t.co/1M1ccxQOPY"
"171","RT @HugoGloss: CONFIRMADO: a segunda temporada de #13ReasonsWhy estreia no dia 18 de maio na Netflix. Ai minha nossa senhora das fitas! Kkk…"
"172","13 Reasons Why: Temporada 2 | Anuncio de fecha de estreno [HD] | Netflix https://t.co/DLVJhT4H9K vía @YouTube
POR FIN!!!!!!!"
"173","https://t.co/XNpZ4EDTBx

I watched this and cried all the way through. I have to watch it again to cement the infor… https://t.co/ZwHNQICxpK"
"174","@wilshipley 4) Yes, and they get bookmarked by their respective HBO/Netflix apps on AppleTV &amp; iPad.  Also people us… https://t.co/E1B8Gq8Ma9"
"175","RT @Caro_Frey: Digan lo que quieran pero Netflix es un asco, nunca tiene las películas que quiero ver"
"176","RT @sextaNoticias: Netflix indemniza con 225.000 euros a la actriz Claire Foy, protagonista de 'The Crown': cobró menos por capítulo que su…"
"177","RT @THR: .@michelleisawolf talks Trump and her @Netflix late-night debut https://t.co/rU3kzsriwC https://t.co/GCrRghra0m"
"178","RT @NetflixLAT: En segundos el cast te cuenta por qué tienes que ver #LuisMiguelLaSerie. Episodio 2 ya disponible, solo en Netflix. https:/…"
"179","RT @weareoneEXO: 넷플릭스(Netflix) 오리지널 최초의 한국 예능 &lt;범인은 바로 너!&gt; 제작발표회에서 포착된 세훈!
탐정으로 변신한 세훈의 모습은 5월 4일에 공개됩니다!
#EXO #SEHUN #세훈 #Netflix #추리예능 #범인…"
"180","estoy entre sacar casa y quedarme viendo netflix, que hagoooooo por la chucha"
"181","RT @RellzGh: So you got to her house at 9PM, you’ve watched 3 movies and a few Netflix shows, she’s yawned... repeatedly, she’s said ‘I’m t…"
"182","Ready for some #AggretsukoTrivia? What is Haida worried about when he runs up to #Aggretsuko in episode three of th… https://t.co/bWyO9IpNXe"
"183","RT @netflix: LORD                         LORD
FARQUAAD               NEARQUAAD https://t.co/15mLsyouV6"
"184","Ya herkesin mi Netflix üyeliği var azıcık sevap işleyinde bizede verin yetherrrrr"
"185","I will mute every single person bringing #that Netflix show on my tl."
"186","What Every Christian Should Know About Netflix https://t.co/41asZej6aR via @AkosBaloghCom https://t.co/2rXNkpX3XF"
"187","Drop some good Netflix movies!!"
"188","House of Cards, #netflix y el uso del Big Data #BlogLCU https://t.co/FP1HwYcuos"
"189","RT @harryegirl: o brasileiro como sempre injustiçado olha essa netflix americana bicho https://t.co/1M1ccxQOPY"
"190","RT @rulerofwind_sh: Sehun said Netflix offers a 1 month free trial so make sure to watch busted and it made everyone laugh HAHAHAHA ������������ #BUS…"
"191","RT @PreviouslySerie: #13ReasonsWhy

⚠️ATENCIÓN⚠️

El 18 de MAYO estreno de la 2T de la serie en @netflix.

⬇️DENTRO VIDEO⬇️
https://t.co/DX…"
"192","RT @harryegirl: o brasileiro como sempre injustiçado olha essa netflix americana bicho https://t.co/1M1ccxQOPY"
"193","RT @GeeksOfColor: Michael B. Jordan Teams With ‘Black Panther’ Writer to Produce ‘Fail Safe’ Film for Netflix https://t.co/Fjy3u0XnOw"
"194","MUY BUENA PROMO.
Por trece razones: Temporada 2 | Anuncio del estreno [HD] | Netflix
Se revela la verdad. 
Por trec… https://t.co/9MfOxeBAVA"
"195","My mom just said that hearing drake and josh coming to Netflix in June on her birthday is the best present of all t… https://t.co/2CTKJDxFAQ"
"196","RT @harryegirl: o brasileiro como sempre injustiçado olha essa netflix americana bicho https://t.co/1M1ccxQOPY"
"197","13 reasons why voltando e eu sem netflix pra ver grr"
"198","RT @13ReasonsWhyBRA: As fitas eram apenas o começo. A 2ª temporada de #13ReasonsWhy chega na plataforma de streaming Netflix no dia 18 de M…"
"199","RT @sgbrasilcom: INFO: A série original da Netflix, produção executiva de Selena Gomez, #13ReasonsWhy retorna para a 2ª temporada em 18 de…"
"200","RT @harryegirl: o brasileiro como sempre injustiçado olha essa netflix americana bicho https://t.co/1M1ccxQOPY"
"201","RT @13ReasonsWhyBRA: As fitas eram apenas o começo. A 2ª temporada de #13ReasonsWhy chega na plataforma de streaming Netflix no dia 18 de M…"
"202","13 Reasons Why Season 2 Netflix teaser reveals May 18 release date - CNET https://t.co/bIFLmyIC2P"
"203","@Sam47901 @netflix Lmfao if this isn’t me, idk what is! ������ @netflix please #renewEverythingSucks so I don’t develop a drinking problem."
"204","Séries que deviam ter um episódio de duas horas pra o desfecho ganhando temporada. Séries que mereciam temporada, g… https://t.co/S1q60L5oB4"
"205","RT @13ReasonsWhyBRA: As fitas eram apenas o começo. A 2ª temporada de #13ReasonsWhy chega na plataforma de streaming Netflix no dia 18 de M…"
"206","Kollar på Marcus möter som om de vore en serie på Netflix, tror ja sett om alla avsnitt typ 5 gånger minst,… https://t.co/yESiwyzFCA"
"207","RT @SelenaGomezBraa: #13ReasonsWhy, uma série original da Netflix, série em que @selenagomez é produtora executiva, terá sua 2ª temporada n…"
